RegionID,RegionName,City,Region,State,Metro,CountyName,SizeRank,2019-10
97515,94024,Los Altos,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,3898,2598300
96149,90402,Santa Monica,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5158,2562600
97691,94301,Palo Alto,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4105,2344200
97518,94027,Atherton,West,CA,San Francisco-Oakland-Hayward,San Mateo County,6886,2256800
72418,33109,Fisher Island,South,FL,Miami-Fort Lauderdale-West Palm Beach,Miami-Dade County,8919,2244400
96980,92662,Newport Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,7227,2190800
97513,94022,Los Altos,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4192,2146300
96979,92661,Newport Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,6781,2063500
96120,90272,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3343,2053100
97130,93108,Montecito,West,CA,Santa Maria-Santa Barbara,Santa Barbara County,5461,2011400
97519,94028,Portola Valley,West,CA,San Francisco-Oakland-Hayward,San Mateo County,6776,1983300
97696,94306,Palo Alto,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2475,1963900
96117,90266,Manhattan Beach,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1519,1951700
96957,92625,Newport Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,4526,1828100
96621,92067,Rancho Santa Fe,West,CA,San Diego-Carlsbad,San Diego County,5630,1745300
96127,90291,Los Angeles,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1372,1721800
97577,94123,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,1512,1686800
97936,95030,Los Gatos,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,5174,1680400
97477,93921,Carmel-by-the-Sea,West,CA,Salinas,Monterey County,6495,1657800
97566,94111,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,6891,1644600
96116,90265,Malibu,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3993,1627800
97568,94114,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,949,1623500
97528,94041,Mountain View,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,4501,1615300
96969,92651,Laguna Beach,West,CA,Los Angeles-Long Beach-Anaheim,Orange County,2212,1571400
96296,91108,San Marino,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,5654,1560800
96086,90210,Beverly Hills,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,3497,1557900
96660,92118,Coronado,West,CA,San Diego-Carlsbad,San Diego County,3592,1530500
97501,94010,Burlingame,West,CA,San Francisco-Oakland-Hayward,San Mateo County,1001,1526100
96152,90405,Santa Monica,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,1459,1502800
97536,94062,Redwood City,West,CA,San Francisco-Oakland-Hayward,San Mateo County,3044,1500800
58624,02110,Boston,Northeast,MA,Boston-Cambridge-Newton,Suffolk County,7684,1497900
58630,02116,Boston,Northeast,MA,Boston-Cambridge-Newton,Suffolk County,2441,1477700
97581,94127,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,4150,1477000
97516,94025,Menlo Park,West,CA,San Francisco-Oakland-Hayward,San Mateo County,1112,1474500
96088,90212,Beverly Hills,West,CA,Los Angeles-Long Beach-Anaheim,Los Angeles County,4677,1460300
97563,94108,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,4253,1443300
97585,94131,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,1861,1439600
97610,94158,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,5392,1424100
97571,94117,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,676,1423400
97498,94002,Belmont,West,CA,San Francisco-Oakland-Hayward,San Mateo County,2632,1417700
58692,02210,Boston,Northeast,MA,Boston-Cambridge-Newton,Suffolk County,6141,1406900
97565,94110,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,46,1396800
97572,94118,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,839,1373700
97575,94121,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,711,1372200
97865,94920,Tiburon,West,CA,San Francisco-Oakland-Hayward,Marin County,4915,1369000
97576,94122,San Francisco,West,CA,San Francisco-Oakland-Hayward,San Francisco County,256,1362300
97695,94305,Stanford,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,5682,1355700
97966,95070,Saratoga,West,CA,San Jose-Sunnyvale-Santa Clara,Santa Clara County,2369,1349200
97542,94070,San Carlos,West,CA,San Francisco-Oakland-Hayward,San Mateo County,2137,1346000
